Route,Segment,AM_or_PM,Distance_km,Mean_peak_travel_time_sec,Mean_peak_travel_speed_kmh,Total_peak_delay_sec,Peak_delay_source,Mean_peak_running_speed_kmh,Percent_time_delay,Level_of_service,Traffic,Condition
Asokoro Road,Area 8 to Berger,AM,11.81,1966.21,21.16,802.19,Market activity,34.99,28.98,C,Medium,Fair
Moshood Abiola Way,Area 1 to Area 10,AM,2.3,1849,5,1705,Traffic signal and Congestion,64.2,92.2,F,High,Poor
Garki Area 8,Wuse Market to NNPC Tower,PM,10.36,539.7,65.87,18.69,Congestion,79.12,3.35,A,Low,Good
Aminu Kano Crescent,Kaura to Games Village,PM,4.25,323.45,54.11,37.61,Congestion,70.53,10.42,B,Low,Good
Maitama Drive,Wuse Zone 5 to Area 1,AM,3.34,465.18,26.4,95.14,Security stop,31.51,16.98,B,Medium,Fair
Herbert Macaulay Way,Herbert Macaulay to Ship House,PM,11.7,718.21,64.76,7.98,Accident,69.5,1.1,A,Low,Good
Aminu Kano Crescent,ECOWAS to Aso Drive,AM,1.42,153.91,34.69,17.82,Congestion,49.1,10.38,B,Medium,Fair
Central District,Transcorp Hilton to Minister’s Hill,AM,10.8,1480.86,27.9,640.52,Congestion,39.97,30.19,C,Medium,Good
Area 3 Connector,Games Village to CBD,PM,9.18,2153.51,15.98,1257.59,Traffic signal and Congestion,32.23,36.87,D,High,Poor
Durumi Road,Area 11 to Area 3,AM,13.65,2570.58,18.79,883.63,Traffic signal and Congestion,32.18,25.58,C,Medium,Fair
Kaura District,Wuse Zone 5 to Area 1,AM,3.67,697.59,20.63,308.16,Traffic signal and Congestion,38.6,30.64,C,Medium,Fair
Moshood Abiola Way,Area 1 to Area 10,AM,0.98,106.21,35.23,39.93,Traffic signal and Congestion,43.77,27.32,C,Medium,Fair
Gwarimpa Road,Area 3 to Area 1,AM,14.76,3503.25,16.52,4960.13,Road works,22.82,58.61,E,High,Poor
Garki Area 11,Efab Estate to Apo,PM,3.03,269.5,39.37,150.54,Congestion,46.24,35.84,D,Medium,Poor
Kado Express,Area 1 to Area 10,PM,14.5,11662.5,5.01,16481.7,Accident,21.33,58.56,E,High,Poor
Nyanya–Mararaba,Zuba to Dei-Dei,PM,10.2,821.2,45.21,260.39,Traffic signal and Congestion,63.13,24.07,C,Medium,Good
Airport Road,Durumi to Area 1,AM,3.09,326.35,35.85,130.53,Minor congestion,47.7,28.57,C,Medium,Fair
Garki Area 11,Zuba to Dei-Dei,PM,12.02,1675.84,25.98,106.2,Market activity,31.64,5.96,A,Medium,Poor
Area 3 Connector,Aco Estate to City Gate,AM,0.72,53.06,49.28,13.89,Traffic signal and Congestion,57.03,20.75,C,Medium,Good
Wuye District,Area 7 to CBD,PM,13.99,911.41,55.76,44.1,Road works,60.81,4.62,A,Low,Fair
Asokoro Road,Area 8 to Berger,AM,6.59,1441.89,16.27,128.35,Accident,20.03,8.17,A,Medium,Poor
Garki II,Area 11 to Area 3,PM,6.86,566.57,48.91,33.91,Traffic signal and Congestion,59.97,5.65,A,Low,Good
Aminu Kano Crescent,Lugbe to Aco Estate,AM,12.71,1508.81,34.69,1148.7,Road works,44.19,43.22,D,Medium,Poor
Kado Express,Wuye to Berger,AM,1.67,248.85,24.11,25.29,Congestion,41.13,9.23,A,Medium,Good
Area 3 Connector,Transcorp Hilton to Minister’s Hill,PM,6.82,465.87,53.67,6.41,Minor congestion,61.34,1.36,A,Low,Fair
Kubwa Expressway,ECOWAS to Aso Drive,AM,11.57,1511.02,31.42,812.44,Market activity,34.65,34.97,C,Medium,Fair
Herbert Macaulay Way,Lugbe to Aco Estate,PM,9.43,1885.79,19.54,1971.36,Security stop,34.71,51.11,D,High,Fair
Jabi Road,Wuse Market to NNPC Tower,PM,9.95,850.66,45.21,42.94,Congestion,53.99,4.81,A,Low,Fair
CBD Loop,Area 1 to CBD,AM,7.69,813.6,38.91,285.89,Congestion,50.44,26,C,Medium,Poor
Ahmadu Bello Way,Games Village to CBD,AM,11.76,2896.71,16.09,1257.35,Security stop,26.67,30.27,C,High,Poor
Kado Road,Banex to Emab Plaza,PM,6.14,6300.31,4,6586.78,Traffic signal and Congestion,13.73,51.11,D,High,Poor
Wuye District,Jabi Park to Utako Market,PM,11.98,892.74,50.16,118.87,Traffic signal and Congestion,54.92,11.75,B,Low,Fair
Apo Road,Apo Roundabout to Gudu,AM,1.72,98.11,61.03,14.52,Security stop,69.59,12.89,B,Low,Good
Asokoro Road,Herbert Macaulay to Ship House,PM,5.58,659.68,30.94,190.61,Congestion,40.02,22.42,C,Medium,Good
Garki Area 8,Area 11 to Area 3,PM,12.43,1799.94,24.03,613.07,Minor congestion,39.06,25.41,C,Medium,Fair
Utako District,Jabi Park to Utako Market,AM,13.91,877,56.72,38.74,Traffic signal and Congestion,70.17,4.23,A,Low,Fair
Durumi Road,Presidential Villa to ECOWAS,AM,14.28,1542.59,34.75,376.92,Minor congestion,38.92,19.64,B,Medium,Fair
Zuba Link,Apo Roundabout to Gudu,AM,6.46,607.31,39.57,52.94,Accident,43.81,8.02,A,Low,Fair
Zuba Link,Lugbe to Aco Estate,AM,5.96,2718.19,9.03,3791.21,Traffic signal and Congestion,19.06,58.24,E,High,Fair
Herbert Macaulay Way,Jabi Park to Utako Market,AM,13.04,2444.77,21.87,3433.78,Traffic signal and Congestion,31.63,58.41,E,High,Fair
Garki Area 11,Banex to Emab Plaza,AM,13.23,1192.97,41.73,148.77,Market activity,56.98,11.09,B,Low,Poor
CBD Loop,Berger to Garki Hospital,PM,9.05,1011.98,36.4,394.16,Congestion,48.52,28.03,C,Medium,Fair
Garki II,Mobolaji Bank Anthony to Apo Legislative,AM,11.03,1063.76,40.67,519.18,Road works,56.3,32.8,C,Medium,Fair
